Address,Time,Current Speed,FreeFlow Speed,Jam Factor,Confidence 
27th Cross Road,2019-10-26T05:07:57Z,12.0,25.0,5.42857,0.7
South End Road,2019-10-26T05:07:17Z,13.0,28.0,5.83673,0.7
Nettakallappa Circle,2019-10-26T05:07:17Z,10.0,23.0,5.92546,0.7
Dewan Madhava Rao Road/Mallika Arjuna Temple Road,2019-10-26T05:07:17Z,9.0,19.0,4.97744,0.7
Tagore Circle/Basavangudi,2019-10-26T05:07:17Z,14.0,26.0,4.65934,0.7
Gandhi Bazar Road,2019-10-26T05:07:17Z,25.0,40.0,4.0,0.7
Vanivilas Road,2019-10-26T05:07:17Z,11.0,33.0,7.93939,0.7
Kondoji Basappa Road/Shiva Shankar Circle/Puttanna Chetty Road,2019-10-26T05:07:17Z,16.0,31.0,5.24423,0.7
A. V. Road/Albert Victor Road/Ima Circle,2019-10-26T05:07:17Z,9.0,23.0,6.54658,0.7
Rashitriya Vidyalaya Road/4th Main Road/Elephant Rock Road,2019-10-26T05:07:17Z,20.0,36.0,4.87301,0.7
10th Main Road,2019-10-26T05:07:17Z,11.0,25.0,5.99999,0.7
Rashitriya Vidyalaya Road/4th Main Road/Elephant Rock Road,2019-10-26T05:07:57Z,10.0,23.0,5.92546,0.7
Nettakallappa Circle,2019-10-26T05:07:19Z,11.0,22.0,4.90909,0.7
Dvgi Road/Nagasandra Main Road,2019-10-26T05:07:19Z,8.0,20.0,6.14285,0.7
Sai Baba Mandir Road/Sannidhi Road,2019-10-26T05:07:19Z,10.0,26.0,6.85714,0.7
Sai Baba Mandir Road/Sannidhi Road,2019-10-26T05:07:06Z,9.0,26.0,7.40659,0.7
Dvgi Road/Nagasandra Main Road,2019-10-26T05:07:06Z,9.0,22.0,6.20779,0.7
Nettakallappa Circle,2019-10-26T05:07:06Z,10.0,21.0,5.15646,0.7
S Sajjan Rao Circle,2019-10-26T05:08:05Z,9.0,14.0,1.90476,0.7
Vanivilas Road/Sri Krishna Rajendra Road,2019-10-26T05:08:05Z,7.0,18.0,6.06349,0.7
S Sajjan Rao Circle,2019-10-26T05:08:05Z,13.0,26.0,5.20879,0.7
Bull Temple Road,2019-10-26T05:07:15Z,8.0,19.0,5.72932,0.7
K R Road/Sri Krishna Rajendra Road/V V Puram Diagonal Road,2019-10-26T05:07:15Z,14.0,33.0,6.64069,0.7
Kanakapura Main Road/Sri Vasavi Temple Road,2019-10-26T05:07:15Z,10.0,22.0,5.55844,0.7
Basavangudi,2019-10-26T05:07:15Z,14.0,24.0,3.88888,0.7
Basavangudi,2019-10-26T05:07:47Z,16.0,33.0,5.77489,0.7
Kanakapura Main Road/Sri Vasavi Temple Road,2019-10-26T05:07:47Z,16.0,26.0,3.58974,0.7
K R Road/Sri Krishna Rajendra Road/V V Puram Diagonal Road,2019-10-26T05:07:47Z,22.0,34.0,3.52941,0.7
Bull Temple Road,2019-10-26T05:07:47Z,16.0,30.0,4.95238,0.7
Mount Joy Road,2019-10-26T05:08:05Z,8.0,22.0,6.85714,0.7
4th Main Road,2019-10-26T05:08:05Z,11.0,24.0,5.66666,0.7
5th Main Road/Puttanna Chetty Road,2019-10-26T05:08:05Z,9.0,18.0,4.47619,0.7
Sajjan Rao Road/Diagonal Road/S. Sajjan Rao Circle/Sajjan Park Circle,2019-10-26T05:08:05Z,12.0,24.0,5.07142,0.7
NH-209/Sri Krishna Rajendra Road/K. R. Road,2019-10-26T05:08:05Z,9.0,23.0,6.54658,0.7
NH-209/Sri Krishna Rajendra Road/K. R. Road,2019-10-26T05:08:05Z,8.0,12.0,1.11111,0.7
Sajjan Rao Road/Diagonal Road/S. Sajjan Rao Circle/Sajjan Park Circle,2019-10-26T05:08:05Z,9.0,16.0,3.33333,0.7
Hayavadawana Road,2019-10-26T05:08:05Z,7.0,20.0,6.85714,0.7
Ram Mandir Road/Sri Ramanjaneya Road,2019-10-26T05:08:05Z,10.0,16.0,2.5,0.7
Ram Mandir Road/Sri Ramanjaneya Road,2019-10-26T05:08:05Z,13.0,26.0,5.20879,0.7
Hayavadawana Road,2019-10-26T05:08:05Z,12.0,26.0,5.75824,0.7
Brindavan Nagar Main Road/Hindu Maha Sagar Road/Lakshmipura Main Road,2019-10-26T05:08:06Z,11.0,23.0,5.30434,0.7
Sri Ramanjaneya Road,2019-10-26T05:08:06Z,8.0,20.0,6.14285,0.7
West Pipeline Road/Brahmaputra Nadi Road/Kumaravyasa Road,2019-10-26T05:08:06Z,7.0,17.0,5.59663,0.7
Sri Ramanjaneya Road,2019-10-26T05:08:06Z,7.0,15.0,4.47619,0.7
Brindavan Nagar Main Road/Hindu Maha Sagar Road/Lakshmipura Main Road,2019-10-26T05:08:06Z,9.0,20.0,5.42857,0.7
Kathriguppe Main Road/4th Cross Road/Mount Joy Road,2019-10-26T05:08:06Z,13.0,33.0,7.07359,0.7
Sri Kumara Swamy Temple Road/9th Main Road/50 Feet Main Road,2019-10-26T05:08:06Z,12.0,22.0,4.25974,0.7
Subram Chetty Road/7th Cross Road,2019-10-26T05:08:06Z,8.0,23.0,7.1677,0.7
Netaji Road,2019-10-26T05:08:06Z,10.0,22.0,5.55844,0.7
4th Main Road,2019-10-26T05:08:06Z,8.0,19.0,5.72932,0.7
Netaji Road,2019-10-26T05:08:06Z,8.0,15.0,3.55555,0.7
Subram Chetty Road/7th Cross Road,2019-10-26T05:08:06Z,9.0,20.0,5.42857,0.7
4th Cross Road/Mount Joy Road/Kathriguppe Main Road,2019-10-26T05:08:06Z,18.0,21.0,0.0,0.7
Bull Temple Road/Sukenahalli Main Road/Basavanangudi Main Road,2019-10-26T05:08:06Z,10.0,20.0,4.71428,0.7
80th Feet Road,2019-10-26T05:13:05Z,8.0,18.0,5.26984,0.7
80th Feet Road,2019-10-26T05:13:05Z,7.0,13.0,3.07692,0.7
50 Feet Road,2019-10-26T05:13:05Z,10.0,19.0,4.22556,0.7
Pipeline Road,2019-10-26T05:13:05Z,9.0,20.0,5.42857,0.7
50 Feet Road,2019-10-26T05:13:05Z,7.0,16.0,5.07142,0.7
Ramanjaya Road,2019-10-26T05:13:05Z,10.0,20.0,4.71428,0.7
4th Main Road,2019-10-26T05:13:05Z,7.0,13.0,3.07692,0.7
4th Main Road,2019-10-26T05:13:05Z,7.0,24.0,8.01714,0.7
9th Main Road/Elephant Rock Road,2019-10-26T05:13:05Z,7.0,17.0,5.59663,0.7
5th Main Road,2019-10-26T05:12:10Z,9.0,24.0,6.85714,0.7
5th Main Road,2019-10-26T05:12:42Z,9.0,19.0,4.97744,0.7
1st Main Road,2019-10-26T05:12:42Z,10.0,21.0,5.15646,0.7
Pipeline Road,2019-10-26T05:13:05Z,7.0,17.0,5.59663,0.7
2nd Cross Road,2019-10-26T05:13:05Z,9.0,19.0,4.97744,0.7
4th Main Road,2019-10-26T05:13:05Z,8.0,20.0,6.14285,0.7
1st B Cross Road,2019-10-26T05:13:05Z,9.0,18.0,4.47619,0.7
1st B Cross Road,2019-10-26T05:13:05Z,17.0,34.0,5.59663,0.7
4th Main Road,2019-10-26T05:13:05Z,11.0,22.0,4.90909,0.7
Rashitriya Vidyalaya Road/Elephant Rock Road/Patilamma Temple Street,2019-10-26T05:12:14Z,8.0,30.0,8.27438,0.7
Kanakapura Main Road/3rd Cross Road,2019-10-26T05:12:14Z,12.0,26.0,5.75824,0.7
Kanakapura Main Road/South Cross Road,2019-10-26T05:12:14Z,10.0,16.0,2.5,0.7
Kanakapura Main Road/South Cross Road,2019-10-26T05:13:01Z,10.0,24.0,6.2619,0.7
Kanakapura Main Road/3rd Cross Road,2019-10-26T05:13:01Z,16.0,30.0,4.95238,0.7
Rashitriya Vidyalaya Road/Elephant Rock Road/Patilamma Temple Street,2019-10-26T05:13:01Z,14.0,25.0,4.28571,0.7
22nd Main Road,2019-10-26T05:13:05Z,14.0,30.0,5.90476,0.7
Sriniwasa Rao Road/Elephant Rock Road/Patilamma Temple Street,2019-10-26T05:13:05Z,9.0,30.0,8.10289,0.7
Sriniwasa Rao Road/Elephant Rock Road/Patilamma Temple Street,2019-10-26T05:13:05Z,16.0,29.0,4.64039,0.7
22nd Main Road,2019-10-26T05:13:05Z,21.0,33.0,3.63636,0.7
30th Cross Road,2019-10-26T05:13:05Z,11.0,28.0,6.85714,0.7
7th Cross Road,2019-10-26T05:13:05Z,7.0,16.0,5.07142,0.7
Netaji Road/3rd Cross Road,2019-10-26T05:13:05Z,10.0,12.0,2.22222,0.7
9th Cross Road,2019-10-26T05:13:05Z,7.0,12.0,2.22222,0.7
Netaji Road/3rd Cross Road,2019-10-26T05:13:05Z,7.0,14.0,3.80952,0.7
7th Cross Road,2019-10-26T05:13:05Z,10.0,12.0,2.22222,0.7
Kumar Swami Temple Road,2019-10-26T05:13:05Z,10.0,28.0,7.36734,0.7
Hosakerehalli Main Road,2019-10-26T05:13:05Z,9.0,20.0,5.42857,0.7
Kumar Swami Temple Road,2019-10-26T05:13:05Z,10.0,21.0,5.15646,0.7
Sai Baba Mandir Road/Sannidhi Road,2019-10-26T05:13:05Z,13.0,28.0,5.83673,0.7
4th Main Road,2019-10-26T05:13:05Z,8.0,19.0,5.72932,0.7
Bull Temple Road/5th Main Road,2019-10-26T05:13:05Z,7.0,18.0,6.06349,0.7
Kathriguppe Main Road,2019-10-26T05:13:05Z,9.0,20.0,5.42857,0.7
Kathriguppe Main Road,2019-10-26T05:13:05Z,7.0,21.0,7.19727,0.7
Bull Temple Road/5th Main Road,2019-10-26T05:13:05Z,10.0,22.0,5.55844,0.7
4th Main Road,2019-10-26T05:13:05Z,11.0,19.0,3.50877,0.7
Sai Baba Mandir Road/Sannidhi Road,2019-10-26T05:13:05Z,9.0,22.0,6.20779,0.7
Kathriguppe Main Road,2019-10-26T05:13:05Z,7.0,14.0,3.80952,0.7
80th Feet Road,2019-10-26T05:13:05Z,8.0,12.0,1.11111,0.7
80th Feet Road,2019-10-26T05:13:05Z,7.0,11.0,1.21212,0.7
Kathriguppe Main Road,2019-10-26T05:13:05Z,8.0,14.0,2.85714,0.7
Kathriguppe Main Road/Vidyapeetha Circle,2019-10-26T05:12:53Z,8.0,20.0,6.14285,0.7
3rd Main Road,2019-10-26T05:12:53Z,10.0,23.0,5.92546,0.7
10th Main Road,2019-10-26T05:12:53Z,7.0,17.0,5.59663,0.7
1st Cross Road,2019-10-26T05:12:53Z,9.0,19.0,4.97744,0.7
100 Feet Ring Road/Outer Ring Road,2019-10-26T05:12:53Z,10.0,21.0,5.15646,0.7
1st Cross Road,2019-10-26T05:12:12Z,11.32,22.0,4.69915,0.71
10th Main Road,2019-10-26T05:12:12Z,11.6,20.0,3.59997,0.71
3rd Main Road,2019-10-26T05:12:12Z,7.96,18.0,5.29901,0.71
Kathriguppe Main Road/Vidyapeetha Circle,2019-10-26T05:12:12Z,10.42,21.0,4.86745,0.72
5th Main Road,2019-10-26T05:13:05Z,7.0,11.0,1.21212,0.7
Lakshmipura Main Road,2019-10-26T05:13:05Z,8.0,16.0,4.17857,0.7
Pipeline Road,2019-10-26T05:13:05Z,7.0,13.0,3.07692,0.7
Subram Chetty Road,2019-10-26T05:13:05Z,7.0,17.0,5.59663,0.7
South End Road,2019-10-26T05:13:05Z,8.0,22.0,6.85714,0.7
4th Main Road,2019-10-26T05:13:05Z,7.0,14.0,3.80952,0.7
14th Cross Road,2019-10-26T05:13:05Z,9.0,20.0,5.42857,0.7
Pipeline Road,2019-10-26T05:13:05Z,7.0,10.0,0.0,0.7
Lakshmipura Main Road,2019-10-26T05:13:05Z,8.0,16.0,4.17857,0.7
5th Main Road,2019-10-26T05:13:05Z,9.0,16.0,3.33333,0.7
4th Main Road,2019-10-26T05:13:05Z,9.0,21.0,5.83673,0.7
South End Road,2019-10-26T05:13:05Z,7.0,16.0,5.07142,0.7
Subram Chetty Road,2019-10-26T05:13:05Z,8.0,23.0,7.1677,0.7
5th Main Road,2019-10-26T05:13:05Z,7.0,16.0,5.07142,0.7
1st Main Road,2019-10-26T05:13:05Z,9.0,19.0,4.97744,0.7
Mavalli Tank Bund Road/Arumugam Mudaliar Road,2019-10-26T05:12:12Z,7.0,10.0,0.0,0.7
Nawab Hyderali Road,2019-10-26T05:12:12Z,10.0,13.0,3.07692,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T05:12:12Z,36.0,39.0,0.0,0.7
Albert Victor Road,2019-10-26T05:13:05Z,10.0,10.0,0.0,0.7
J. C. Road/Jayachamaraja Wodeyar Road,2019-10-26T05:13:05Z,10.0,12.0,2.22222,0.7
J. C. Road/Jayachamaraja Wodeyar Road,2019-10-26T05:13:05Z,10.0,12.0,2.22222,0.7
Albert Victor Road,2019-10-26T05:13:05Z,7.0,11.0,1.21212,0.7
Kalasi Palyam Main Road,2019-10-26T05:13:05Z,10.0,10.0,0.0,0.7
3rd Main Road,2019-10-26T05:13:05Z,10.0,25.0,6.57142,0.7
Kg Nagar Main Road/Lakshmipura Main Road,2019-10-26T05:13:05Z,10.0,19.0,4.22556,0.7
Kg Nagar Main Road/Lakshmipura Main Road,2019-10-26T05:13:05Z,7.0,18.0,6.06349,0.7
3rd Main Road,2019-10-26T05:13:05Z,8.0,17.0,4.7563,0.7
5th Main Road,2019-10-26T05:12:53Z,7.0,21.0,7.19727,0.7
Appu Rao Road,2019-10-26T05:12:53Z,9.0,22.0,6.20779,0.7
Hayavadawana Road/Gandhi Bazar Road,2019-10-26T05:12:53Z,14.03,25.0,4.26613,0.72
Ramanjaya Road/N A T Road,2019-10-26T05:12:53Z,9.0,23.0,6.54658,0.7
Bugle Road/Mount Joy Road,2019-10-26T05:12:53Z,11.0,21.0,4.47619,0.7
7th Cross Road/5th Main Road,2019-10-26T05:12:53Z,8.0,21.0,6.517,0.7
7th Cross Road/5th Main Road,2019-10-26T05:12:12Z,7.0,20.0,6.85714,0.7
Bugle Road/Mount Joy Road,2019-10-26T05:12:12Z,7.0,19.0,6.4812,0.7
Ramanjaya Road/N A T Road,2019-10-26T05:12:12Z,9.0,24.0,6.85714,0.7
Hayavadawana Road/Gandhi Bazar Road,2019-10-26T05:12:12Z,10.0,22.0,5.55844,0.7
Appu Rao Road,2019-10-26T05:12:12Z,13.0,26.0,5.20879,0.7
5th Main Road,2019-10-26T05:12:12Z,10.0,20.0,4.71428,0.7
Kanakapura Main Road,2019-10-26T05:12:57Z,13.0,34.0,7.27731,0.7
South Cross Road,2019-10-26T05:12:57Z,8.0,16.0,4.17857,0.7
K R Road/Sri Krishna Rajendra Road/Mallika Arjuna Temple Road,2019-10-26T05:12:57Z,8.0,22.0,6.85714,0.7
K R Road/Sri Krishna Rajendra Road/Mallika Arjuna Temple Road,2019-10-26T05:12:55Z,11.0,27.0,6.59259,0.7
South Cross Road,2019-10-26T05:12:55Z,12.0,24.0,5.07142,0.7
Kanakapura Main Road,2019-10-26T05:12:55Z,11.0,22.0,4.90909,0.7
S Sajjan Rao Circle,2019-10-26T05:13:05Z,9.0,14.0,1.90476,0.7
S Sajjan Rao Circle,2019-10-26T05:13:05Z,11.0,23.0,5.30434,0.7
Lalbagh Fort Road/Rashtriya Vidyalaya Road/Minarva Circle,2019-10-26T05:13:05Z,14.0,31.0,6.16589,0.7
Basavangudi,2019-10-26T05:13:05Z,14.0,26.0,4.65934,0.7
4th Main Road,2019-10-26T05:13:05Z,14.0,27.0,5.00529,0.7
9th Main Road/22nd Main Road,2019-10-26T05:13:05Z,12.0,24.0,5.07142,0.7
4th Main Road,2019-10-26T05:13:05Z,12.0,24.0,5.07142,0.7
Basavangudi,2019-10-26T05:13:05Z,17.0,29.0,4.14778,0.7
Bull Temple Road/Ramkrishna Circle,2019-10-26T05:12:43Z,8.78,18.0,4.6492,0.73
K R Road/Sri Krishna Rajendra Road,2019-10-26T05:12:43Z,8.0,20.0,6.14285,0.7
Bull Temple Road/Ramkrishna Circle,2019-10-26T05:12:26Z,8.0,19.0,5.72932,0.7
J. C. Road/Jayachamaraja Wodeyar Road,2019-10-26T05:13:03Z,13.0,28.0,5.83673,0.7
Lal Bagh Road/Lal Bagh Main Road,2019-10-26T05:13:03Z,13.0,27.0,5.53439,0.7
Bull Temple Road,2019-10-26T05:13:05Z,8.0,14.0,2.85714,0.7
3rd Main Road,2019-10-26T05:13:05Z,11.0,22.0,4.90909,0.7
3rd Main Road,2019-10-26T05:13:05Z,11.0,30.0,7.33333,0.7
Bull Temple Road,2019-10-26T05:13:05Z,13.0,26.0,5.20879,0.7
Lalbagh Fort Road/Minarva Circle/Lal Bagh Road,2019-10-26T05:12:57Z,18.0,35.0,5.42857,0.7
Arumugam Mudaliar Road/H Siddaiah Road,2019-10-26T05:12:57Z,16.0,36.0,6.46031,0.7
Sri Narasimharaja Road/N. R. Road,2019-10-26T05:12:57Z,14.0,37.0,7.43629,0.7
Av Road/Sri Jayachamaraja Odeiar Road/Albert Victor Road,2019-10-26T05:13:05Z,7.0,16.0,5.07142,0.7
4th Main Road,2019-10-26T05:12:14Z,7.0,10.0,0.0,0.7
Basavangudi/Devan N Madhava Road/Old Veterniry Hospital Road,2019-10-26T05:12:14Z,8.0,21.0,6.517,0.7
Shri Bp Wadia Road,2019-10-26T05:12:14Z,14.0,28.0,5.32653,0.7
Vanivilas Road,2019-10-26T05:12:14Z,13.0,26.0,5.20879,0.7
S Sajjan Rao Circle,2019-10-26T05:12:14Z,12.0,23.0,4.68322,0.7
S Sajjan Rao Circle,2019-10-26T05:12:55Z,9.0,16.0,3.33333,0.7
Vanivilas Road,2019-10-26T05:12:55Z,10.0,15.0,1.77777,0.7
Shri Bp Wadia Road,2019-10-26T05:12:55Z,12.0,22.0,4.25974,0.7
Basavangudi/Devan N Madhava Road/Old Veterniry Hospital Road,2019-10-26T05:12:55Z,13.0,30.0,6.38095,0.7
4th Main Road,2019-10-26T05:12:55Z,7.0,21.0,7.19727,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T05:12:31Z,9.0,22.0,6.20779,0.7
Church Road/Kanakapura Main Road,2019-10-26T05:12:31Z,12.0,24.0,5.07142,0.7
Rashtriya Vidyalaya Road,2019-10-26T05:12:31Z,9.0,19.0,4.97744,0.7
100 Feet Road/3rd Cross Road/Siddapura Road,2019-10-26T05:12:31Z,16.0,27.0,3.95061,0.7
Rashtriya Vidyalaya Road,2019-10-26T05:12:53Z,14.0,25.0,4.28571,0.7
Church Road/Kanakapura Main Road,2019-10-26T05:12:53Z,10.0,20.0,4.71428,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T05:12:53Z,13.0,25.0,4.85714,0.7
Dewan Madhava Rao Road/Sri Krishna Rajendra Road,2019-10-26T05:12:12Z,9.0,22.0,6.20779,0.7
4th Main Road,2019-10-26T05:12:12Z,9.0,18.0,4.47619,0.7
30th Cross Road,2019-10-26T05:12:12Z,12.0,20.0,3.33333,0.7
4th Main Road,2019-10-26T05:12:45Z,12.0,25.0,5.42857,0.7
Dewan Madhava Rao Road/Sri Krishna Rajendra Road,2019-10-26T05:12:45Z,14.0,25.0,4.28571,0.7
4th Main Road,2019-10-26T05:13:00Z,11.0,23.0,5.30434,0.7
7th Cross Road,2019-10-26T05:13:00Z,9.0,22.0,6.20779,0.7
80th Feet Road/Vidyapeetha Circle,2019-10-26T05:13:00Z,9.0,17.0,3.92156,0.7
7th Main Road,2019-10-26T05:13:00Z,9.65,19.0,4.48852,0.71
100 Feet Ring Road/Outer Ring Road,2019-10-26T05:13:00Z,9.0,20.0,5.42857,0.7
7th Main Road,2019-10-26T05:12:57Z,12.0,24.0,5.07142,0.7
80th Feet Road/Vidyapeetha Circle,2019-10-26T05:12:57Z,11.0,23.0,5.30434,0.7
7th Cross Road,2019-10-26T05:12:57Z,8.0,20.0,6.14285,0.7
4th Main Road,2019-10-26T05:12:57Z,8.0,19.0,5.72932,0.7
1st Main Road,2019-10-26T05:12:37Z,13.0,27.0,5.53439,0.7
Sri Krishna Rajendra Road/Shiva Shankar Circle/K R Road,2019-10-26T05:12:37Z,11.0,32.0,7.75,0.7
Sri Krishna Rajendra Road/Shiva Shankar Circle/K R Road,2019-10-26T05:12:18Z,14.0,41.0,8.0276,0.7
1st Main Road,2019-10-26T05:12:18Z,16.0,33.0,5.77489,0.7
Basavangudi,2019-10-26T05:12:25Z,23.69,31.0,1.85425,0.77
50 Feet Road,2019-10-26T05:13:05Z,7.0,23.0,7.78881,0.7
13th Main Road,2019-10-26T05:13:05Z,8.0,20.0,6.14285,0.7
15th Main Road,2019-10-26T05:13:05Z,8.0,20.0,6.14285,0.7
4th Main Road,2019-10-26T05:13:05Z,10.0,24.0,6.2619,0.7
Pipeline Road,2019-10-26T05:13:05Z,9.0,19.0,4.97744,0.7
15th Main Road,2019-10-26T05:13:05Z,11.0,23.0,5.30434,0.7
13th Main Road,2019-10-26T05:13:05Z,9.0,18.0,4.47619,0.7
50 Feet Road,2019-10-26T05:13:05Z,10.0,21.0,5.15646,0.7
8th Main Road,2019-10-26T05:13:05Z,7.0,10.0,0.0,0.7
Bagappa Road,2019-10-26T05:13:05Z,7.0,16.0,5.07142,0.7
Bull Temple Road,2019-10-26T05:13:05Z,8.0,20.0,6.14285,0.7
Minarva Circle/Jayachamraja Wodeyan Road/Diagonal Road,2019-10-26T05:12:45Z,13.0,29.0,6.11822,0.7
Nawab Hyderali Road/Sajjan Rao Road/New Basappa Circle,2019-10-26T05:12:45Z,14.0,31.0,6.16589,0.7
Dispensary Road/1st Main Road,2019-10-26T05:12:45Z,9.0,25.0,7.14285,0.7
Dispensary Road/1st Main Road,2019-10-26T05:12:13Z,10.0,29.0,7.59605,0.7
Nawab Hyderali Road/Sajjan Rao Road/New Basappa Circle,2019-10-26T05:12:13Z,9.0,26.0,7.40659,0.7
Minarva Circle/Jayachamraja Wodeyan Road/Diagonal Road,2019-10-26T05:12:13Z,11.0,31.0,7.54838,0.7
Bull Temple Road,2019-10-26T05:13:05Z,7.0,21.0,7.19727,0.7
Bagappa Road,2019-10-26T05:13:05Z,8.0,16.0,4.17857,0.7
8th Main Road,2019-10-26T05:13:05Z,7.0,13.0,3.07692,0.7
Basavangudi,2019-10-26T05:13:00Z,10.0,23.0,5.92546,0.7
Church Road/Kanakapura Main Road,2019-10-26T05:13:00Z,13.0,21.0,3.1746,0.7
Church Road/Kanakapura Main Road,2019-10-26T05:12:57Z,13.0,24.0,4.47619,0.7
Basavangudi,2019-10-26T05:12:57Z,11.0,23.0,5.30434,0.7
Bull Temple Road,2019-10-26T05:13:05Z,7.0,22.0,7.50649,0.7
Bull Temple Road,2019-10-26T05:13:05Z,12.0,22.0,4.25974,0.7
4th Cross Road,2019-10-26T05:13:05Z,9.0,22.0,6.20779,0.7
Wamy Temple Road,2019-10-26T05:13:05Z,10.0,22.0,5.55844,0.7
1st B Cross Road,2019-10-26T05:13:05Z,13.0,30.0,6.38095,0.7
Pipeline Road,2019-10-26T05:12:13Z,18.69,39.0,6.05365,0.77
Main Chamrajpet Road,2019-10-26T05:12:45Z,14.44,29.0,5.40686,0.71
Albert Victor Road/Av Road/Sri Jayachamaraja Odeiar Road,2019-10-26T05:13:05Z,7.0,17.0,5.59663,0.7
Kondoji Basappa Road/Lal Bagh Road/Lalbagh Fort Road,2019-10-26T05:13:05Z,9.0,19.0,4.97744,0.7
Kondoji Basappa Road/Lal Bagh Road/Lalbagh Fort Road,2019-10-26T05:13:05Z,37.0,40.0,0.0,0.7
Albert Victor Road/Av Road/Sri Jayachamaraja Odeiar Road,2019-10-26T05:13:05Z,29.0,36.0,1.48148,0.7
3rd Cross Road,2019-10-26T05:13:05Z,7.0,10.0,0.0,0.7
4th Main Road,2019-10-26T05:13:05Z,7.0,11.0,1.21212,0.7
4th Main Road,2019-10-26T05:13:05Z,10.0,10.0,0.0,0.7
3rd Cross Road,2019-10-26T05:13:05Z,7.0,12.0,2.22222,0.7
5th Main Road,2019-10-26T05:13:05Z,14.0,30.0,5.90476,0.7
Vanivilas Road,2019-10-26T05:13:05Z,7.0,19.0,6.4812,0.7
Vanivilas Road,2019-10-26T05:13:05Z,7.0,12.0,2.22222,0.7
5th Main Road,2019-10-26T05:13:05Z,9.0,20.0,5.42857,0.7
A. V. Road/Albert Victor Road,2019-10-26T05:13:05Z,14.0,28.0,5.32653,0.7
8th Main Road,2019-10-26T05:12:45Z,7.0,14.0,3.80952,0.7
Ramanjaya Road,2019-10-26T05:12:45Z,7.0,17.0,5.59663,0.7
4th Cross Road,2019-10-26T05:12:45Z,7.0,17.0,5.59663,0.7
50 Feet Road,2019-10-26T05:12:45Z,7.0,15.0,4.47619,0.7
50 Feet Road,2019-10-26T05:12:28Z,7.0,11.0,1.21212,0.7
4th Cross Road,2019-10-26T05:12:28Z,7.0,13.0,3.07692,0.7
Ramanjaya Road,2019-10-26T05:12:28Z,7.0,13.0,3.07692,0.7
8th Main Road,2019-10-26T05:12:28Z,8.0,15.0,3.55555,0.7
Mysore Road,2019-10-26T05:12:28Z,8.0,16.0,4.17857,0.7
Sri Krishna Rajendra Road/K R Road,2019-10-26T05:13:05Z,8.0,25.0,7.71428,0.7
Pampa Mahakavi Road,2019-10-26T05:13:05Z,7.0,20.0,6.85714,0.7
3rd Main Road,2019-10-26T05:13:05Z,8.0,20.0,6.14285,0.7
8th Main Road/9th Cross Road,2019-10-26T05:13:05Z,8.0,20.0,6.14285,0.7
8th Main Road/9th Cross Road,2019-10-26T05:13:05Z,7.0,11.0,1.21212,0.7
3rd Main Road,2019-10-26T05:13:05Z,9.0,20.0,5.42857,0.7
Pampa Mahakavi Road,2019-10-26T05:13:05Z,9.0,20.0,5.42857,0.7
Sri Krishna Rajendra Road/K R Road,2019-10-26T05:13:05Z,7.0,22.0,7.50649,0.7
Bull Temple Road,2019-10-26T05:13:05Z,10.0,19.0,4.22556,0.7
Pipeline Road/3rd Main Road,2019-10-26T05:13:05Z,7.0,12.0,2.22222,0.7
13th Main Road,2019-10-26T05:13:05Z,7.0,14.0,3.80952,0.7
13th Main Road,2019-10-26T05:13:05Z,10.0,45.0,8.67452,0.7
Pipeline Road/3rd Main Road,2019-10-26T05:13:05Z,7.0,14.0,3.80952,0.7
Bull Temple Road,2019-10-26T05:13:05Z,7.0,15.0,4.47619,0.7
Lal Bagh Road/Diagonal Road/Minarva Circle,2019-10-26T05:12:53Z,8.0,29.0,8.20933,0.7
Basavangudi,2019-10-26T05:12:53Z,12.0,22.0,4.25974,0.7
Kankanpalya Road,2019-10-26T05:12:53Z,11.0,31.0,7.54838,0.7
Sriniwasa Rao Road/4th Main Road/Elephant Rock Road,2019-10-26T05:12:53Z,15.0,29.0,5.133,0.7
Sriniwasa Rao Road/4th Main Road/Elephant Rock Road,2019-10-26T05:12:41Z,20.0,36.0,4.87301,0.7
Kankanpalya Road,2019-10-26T05:12:41Z,14.0,30.0,5.90476,0.7
Basavangudi,2019-10-26T05:12:41Z,14.0,31.0,6.16589,0.7
Lal Bagh Road/Diagonal Road/Minarva Circle,2019-10-26T05:12:41Z,17.0,33.0,5.34199,0.7
Kondoji Basappa Road/Lal Bagh Road/Lalbagh Fort Road,2019-10-26T05:13:05Z,11.0,30.0,7.33333,0.7
S Sajjan Rao Circle,2019-10-26T05:13:05Z,12.0,19.0,2.80701,0.7
S Sajjan Rao Circle,2019-10-26T05:13:05Z,12.0,24.0,5.07142,0.7
Kondoji Basappa Road/Lal Bagh Road/Lalbagh Fort Road,2019-10-26T05:13:05Z,11.0,22.0,4.90909,0.7
South Cross Road,2019-10-26T05:12:39Z,7.0,19.0,6.4812,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T05:12:39Z,7.0,18.0,6.06349,0.7
Nagasandra Main Road,2019-10-26T05:12:39Z,8.0,23.0,7.1677,0.7
Nagasandra Main Road,2019-10-26T05:12:21Z,13.0,24.0,4.47619,0.7
