Address,Time,Current Speed,FreeFlow Speed,Jam Factor,Confidence
5th Main Road,2019-10-26T02:48:06Z,7.0,16.0,5.07142,0.7
1st Main Road,2019-10-26T02:48:06Z,9.0,19.0,4.97744,0.7
Mavalli Tank Bund Road/Arumugam Mudaliar Road,2019-10-26T02:47:12Z,7.0,10.0,0.0,0.7
Nawab Hyderali Road,2019-10-26T02:47:12Z,11.0,13.0,2.05128,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T02:47:12Z,36.0,39.0,0.0,0.7
Albert Victor Road,2019-10-26T02:48:06Z,10.0,10.0,0.0,0.7
J. C. Road/Jayachamaraja Wodeyar Road,2019-10-26T02:48:06Z,10.0,12.0,2.22222,0.7
J. C. Road/Jayachamaraja Wodeyar Road,2019-10-26T02:48:06Z,10.0,12.0,2.22222,0.7
Albert Victor Road,2019-10-26T02:48:06Z,7.0,11.0,1.21212,0.7
Kalasi Palyam Main Road,2019-10-26T02:48:06Z,10.0,10.0,0.0,0.7
3rd Main Road,2019-10-26T02:48:06Z,10.0,25.0,6.57142,0.7
Kg Nagar Main Road/Lakshmipura Main Road,2019-10-26T02:48:06Z,10.0,19.0,4.22556,0.7
Kg Nagar Main Road/Lakshmipura Main Road,2019-10-26T02:48:06Z,7.0,18.0,6.06349,0.7
3rd Main Road,2019-10-26T02:48:06Z,9.0,17.0,3.92156,0.7
5th Main Road,2019-10-26T02:47:53Z,9.0,21.0,5.83673,0.7
Appu Rao Road,2019-10-26T02:47:53Z,12.0,22.0,4.25974,0.7
Hayavadawana Road/Gandhi Bazar Road,2019-10-26T02:47:53Z,13.0,25.0,4.85714,0.7
Ramanjaya Road/N A T Road,2019-10-26T02:47:53Z,10.0,23.0,5.92546,0.7
Bugle Road/Mount Joy Road,2019-10-26T02:47:53Z,12.0,21.0,3.80952,0.7
7th Cross Road/5th Main Road,2019-10-26T02:47:53Z,8.0,21.0,6.517,0.7
